date,strategy,ticker,weight,realized_future_return,predicted_return_score,hmm_regime
2023-12-01,HMM_ScoreMV_Top10,BIIB,0.08731737019835782,0.1409392778360561,0.52957076,2
2023-12-01,HMM_ScoreMV_Top10,CDNS,0.0,-0.0275569152536977,0.5090529,2
2023-12-01,HMM_ScoreMV_Top10,CTVA,0.12505557230035066,0.051082187830107,0.50965244,2
2023-12-01,HMM_ScoreMV_Top10,F,4.059487050669819e-17,0.1493383724675483,0.51723284,2
2023-12-01,HMM_ScoreMV_Top10,GLW,0.19633242754123695,0.0572123036165237,0.51766217,2
2023-12-01,HMM_ScoreMV_Top10,GM,0.0,0.1140296737040937,0.5104146,2
2023-12-01,HMM_ScoreMV_Top10,HAL,0.0014250867824672523,-0.0379267365788631,0.5136607,2
2023-12-01,HMM_ScoreMV_Top10,NFLX,0.25,0.0059259920575602,0.5480799,2
2023-12-01,Static_MinVar_Top10,AMD,0.0,0.141609708607282,0.5360826,2
2023-12-01,Static_MinVar_Top10,AMZN,0.1000341894130516,0.0197238245294246,0.53141546,2
2023-12-01,Static_MinVar_Top10,BIIB,0.1337046981627629,0.1409392778360561,0.52957076,2
2023-12-01,Static_MinVar_Top10,CDNS,0.14472230451007645,-0.0275569152536977,0.5090529,2
2023-12-01,Static_MinVar_Top10,CTVA,0.25,0.051082187830107,0.50965244,2
2023-12-01,Static_MinVar_Top10,F,0.01527549739931208,0.1493383724675483,0.51723284,2
2023-12-01,Static_MinVar_Top10,GLW,0.25,0.0572123036165237,0.51766217,2
2023-12-01,Static_MinVar_Top10,GM,0.019068822389728707,0.1140296737040937,0.5104146,2
2023-12-01,Static_MinVar_Top10,HAL,0.061968443573401095,-0.0379267365788631,0.5136607,2
2023-12-01,Static_MinVar_Top10,NFLX,0.025226044551667166,0.0059259920575602,0.5480799,2
2023-12-01,Static_ScoreMV_Top10,AMD,0.10052894102979504,0.141609708607282,0.5360826,2
2023-12-01,Static_ScoreMV_Top10,AMZN,0.2254312780185042,0.0197238245294246,0.53141546,2
2023-12-01,Static_ScoreMV_Top10,BIIB,0.24408994540489456,0.1409392778360561,0.52957076,2
2023-12-01,Static_ScoreMV_Top10,CDNS,0.0,-0.0275569152536977,0.5090529,2
2023-12-01,Static_ScoreMV_Top10,CTVA,9.867526827950026e-20,0.051082187830107,0.50965244,2
2023-12-01,Static_ScoreMV_Top10,F,2.4982202055575237e-17,0.1493383724675483,0.51723284,2
2023-12-01,Static_ScoreMV_Top10,GLW,0.15571332416666456,0.0572123036165237,0.51766217,2
2023-12-01,Static_ScoreMV_Top10,GM,0.0,0.1140296737040937,0.5104146,2
2023-12-01,Static_ScoreMV_Top10,HAL,0.024236511380141608,-0.0379267365788631,0.5136607,2
2023-12-01,Static_ScoreMV_Top10,NFLX,0.25,0.0059259920575602,0.5480799,2
2024-01-02,EqualWeight_Top10,BKNG,0.1,0.0077315540327347,0.52608484,0
2024-01-02,EqualWeight_Top10,BRK-B,0.1,0.0587099246288378,0.55536705,0
2024-01-02,EqualWeight_Top10,CDNS,0.1,0.0972232717839387,0.5144106,0
2024-01-02,EqualWeight_Top10,CMG,0.1,0.0730682545731544,0.5147539,0
2024-01-02,EqualWeight_Top10,GM,0.1,0.0762828914961484,0.52478784,0
2024-01-02,EqualWeight_Top10,KMB,0.1,-0.0113600339303638,0.5186709,0
